Name,Category Type, Category Subtype,Phone,Website,Email,Geographic Location
Cornwall Road Parking,amenity,parking,,,,--
Ping Pong,amenity,restaurant,,,,-SE1 8XX-Belvedere Road
Las Iguanas,amenity,restaurant,,,,-SE1 8XX-Festival Terrace
Camel and Artichoke,amenity,pub,,,,--
Giraffe,amenity,restaurant,‎+442070426900,https://www.giraffe.net/,,London-SE1 8XX-Riverside Level 1
Hole In the Wall,amenity,pub,,,,London-SE1 8SQ-Mepham Street
The Kings Arms,amenity,pub,,,,--
London Aquarium 2x1,tourism,attraction,,,,--
Riverside Terrace Cafe,amenity,cafe,,,,--
The Fountain & Ink,amenity,pub,,,,London-SE1 9LX-Stamford Street
Pret A Manger,amenity,fast_food,,http://www.pret.com,,--Stamford Street
Southbank Centre,amenity,parking,,,,--
PizzaExpress,amenity,restaurant,,,,--
Honest Burgers,amenity,restaurant,,,,--
Côte Brasserie,amenity,restaurant,,,,--
Le Pain Quotidien,amenity,cafe,+44 20 7486 6154,,,--
Strada,amenity,restaurant,+4420 7401 9126,https://www.strada.co.uk/italian-restaurant/royal-festival-hall,,London-SE1 8XX-Royal Festival Hall
Pret,amenity,cafe,+44 20 79286895,https://www.pret.co.uk/,,--
The Duke of Wellington,amenity,pub,,,,--
Wagamama,amenity,restaurant,+442070210877,,,London-SE1 8XX-Royal Festival Hall
The Fire Station,amenity,pub,,,,London-SE1 8SB-Waterloo Road
Oxo Tower Restaurant,amenity,restaurant,,,,London-SE1 9PH-
Evans Cycles,shop,bicycle,+44 20 7928 4785,,waterloocut.store@evanscycles.com,London-SE1 8LL-The Cut
The London Bicycle Repair Shop,shop,bicycle,,,,London--Hatfields
Toni & Guy,shop,hairdresser,,,,--
The Stage Door,amenity,pub,,,,-SE1 8QA-Webber Street
Prince William Henry,amenity,pub,,,,--
Jef's Cafe & Sandwiches,amenity,cafe,,,,--
The Windmill,amenity,pub,,,,-SE1 8LW-The Cut
cafe pronto,amenity,cafe,,,,--
London Pride,tourism,artwork,,,,--
Lawrence Olivier As Hamlet,tourism,artwork,,,,--
War Memorial,historic,memorial,,,,--
Waterloo Station,amenity,toilets,,,,London-SE1 8SW-
Park Plaza,tourism,hotel,+44 2070211800,https://www.parkplaza.com/countyhall_london,,--Addington Street
Express Supersave Food & Wine,shop,supermarket,,,,London-SE1 8HW-Blackfriars Road
British Transport Police,amenity,police,,,,London--Holmes Terrace
EV,amenity,restaurant,,http://www.tasrestaurant.com/ev_bakery,,--
South Bank Book Market,tourism,attraction,,,,--
Nelson Mandela,historic,memorial,,,,--
Caffè Nero,amenity,cafe,,https://caffenero.com/,,--The Cut
Topolski Century,tourism,museum,,http://www.topolskicentury.org.uk/,,--
London Marriott Hotel County Hall,tourism,hotel,,,,-SE1 7PB-Westminster Bridge Road
Waterloo Health Centre,amenity,doctors,,,,--
London Duck Tours,tourism,attraction,,,,--
Starbucks,amenity,cafe,,https://www.starbucks.co.uk/,,London-SE1 9JH-Hopton Street
